root@Comp3134-Winter2023:~/wk3# tcpdump -i eth0 dst 157.49.197.53
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:06.417967 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 147665351:147665459, ack 4018974776, win 501, options [nop,nop,TS val 3595109987 ecr 3464236649], length 108
19:16:06.418049 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 108:252, ack 1, win 501, options [nop,nop,TS val 3595109987 ecr 3464236649], length 144
19:16:06.418109 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 252:288, ack 1, win 501, options [nop,nop,TS val 3595109987 ecr 3464236649], length 36
19:16:06.423618 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 288:516, ack 1, win 501, options [nop,nop,TS val 3595109993 ecr 3464236649], length 228
19:16:06.424245 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 516:552, ack 1, win 501, options [nop,nop,TS val 3595109994 ecr 3464236649], length 36
19:16:06.424340 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 552:756, ack 1, win 501, options [nop,nop,TS val 3595109994 ecr 3464236649], length 204
19:16:06.424403 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 756:792, ack 1, win 501, options [nop,nop,TS val 3595109994 ecr 3464236649], length 36
19:16:06.424441 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 792:996, ack 1, win 501, options [nop,nop,TS val 3595109994 ecr 3464236649], length 204
19:16:06.424492 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 996:1032, ack 1, win 501, options [nop,nop,TS val 3595109994 ecr 3464236649], length 36
19:16:06.465710 IP Comp3134-Winter2023.ssh > 157.49.197.53.54364: Flags [.], ack 4084504125, win 4066, options [nop,nop,TS val 3595110035 ecr 3464236665], length 0
19:16:06.691128 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 1032:2712, ack 1, win 501, options [nop,nop,TS val 3595110260 ecr 3464236944], length 1680
19:16:06.703916 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 2712:2960, ack 1, win 501, options [nop,nop,TS val 3595110273 ecr 3464236948], length 248
19:16:06.704096 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 2960:3172, ack 1, win 501, options [nop,nop,TS val 3595110273 ecr 3464236948], length 212
19:16:06.713910 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 3172:3456, ack 1, win 501, options [nop,nop,TS val 3595110283 ecr 3464236948], length 284
19:16:06.714099 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 3456:3668, ack 1, win 501, options [nop,nop,TS val 3595110283 ecr 3464236948], length 212
19:16:06.719087 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 3668:3952, ack 1, win 501, options [nop,nop,TS val 3595110288 ecr 3464236952], length 284
19:16:06.719267 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 3952:4164, ack 1, win 501, options [nop,nop,TS val 3595110289 ecr 3464236952], length 212
19:16:06.724119 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 4164:4448, ack 1, win 501, options [nop,nop,TS val 3595110293 ecr 3464236956], length 284
19:16:06.724313 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 4448:4660, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 212
19:16:06.724386 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 4660:4908, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 248
19:16:06.724439 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 4908:4944, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 36
19:16:06.724453 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 4944:5156, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 212
19:16:06.724493 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5156:5192, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 36
19:16:06.724524 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5192:5396, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 204
19:16:06.724555 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5396:5432, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 36
19:16:06.724586 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5432:5644, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 212
19:16:06.724622 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5644:5680, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 36
19:16:06.724653 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5680:5884, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 204
19:16:06.724683 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5884:5920, ack 1, win 501, options [nop,nop,TS val 3595110294 ecr 3464236956], length 36
19:16:06.843590 IP Comp3134-Winter2023.ssh > 157.49.197.53.54364: Flags [P.], seq 0:44, ack 1, win 4066, options [nop,nop,TS val 3595110413 ecr 3464236803], length 44
19:16:07.031170 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 5920:7624, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 1704
19:16:07.031374 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 7624:7836, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 212
19:16:07.031462 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 7836:8084, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 248
19:16:07.031536 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 8084:8120, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 36
19:16:07.031566 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 8120:8332, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 212
19:16:07.031634 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 8332:8368, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 36
19:16:07.031674 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 8368:8572, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 204
19:16:07.031772 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 8572:8820, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 248
19:16:07.031840 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 8820:8856, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 36
19:16:07.031860 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 8856:9060, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 204
19:16:07.031939 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 9060:9308, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 248
19:16:07.031974 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 9308:9344, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 36
19:16:07.032020 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 9344:9556, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 212
19:16:07.032091 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 9556:9796, ack 1, win 501, options [nop,nop,TS val 3595110601 ecr 3464237268], length 240
19:16:07.032175 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 9796:10044, ack 1, win 501, options [nop,nop,TS val 3595110602 ecr 3464237268], length 248
19:16:07.032228 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 10044:10080, ack 1, win 501, options [nop,nop,TS val 3595110602 ecr 3464237268], length 36
19:16:07.032266 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 10080:10292, ack 1, win 501, options [nop,nop,TS val 3595110602 ecr 3464237268], length 212
19:16:07.032330 IP Comp3134-Winter2023.ssh > 157.49.197.53.42950: Flags [P.], seq 10292:10328, ack 1, win 501, options [nop,nop,TS val 3595110602 ecr 3464237268], length 36
